id,naam,locatie,provincie,gemeente,deelgemeente,is_vastgesteld,is_beschermd,omvang,erfgoedwaarde,bewaringstoestand,stijl,typologie,context,materiaal,plantensoort,datering,personen,gebeurtenissen,themas,disciplines,dataverantwoordelijke,stamomtrek
303576,Veekeringen van meidoorn,"Sint-Pieterstraat, Trappen (Voeren)",Limburg,Voeren,Sint-Pieters-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus monogyna,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303577,Veekeringen van meidoorn,"Commanderie, Commanderieshof, Sint-Pieterstraat (Voeren)",Limburg,Voeren,Sint-Pieters-Voeren,True,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","hoogstamboomgaarden, perceelsgrenzen, weilanden",,Crataegus monogyna,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303604,Veekeringen van meidoorn,Komberg (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303605,Veekeringen van meidoorn,"Kattenroth, Kwinten (Voeren)",Limburg,Voeren,Sint-Martens-Voeren,True,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303607,Veekeringen van meidoorn,Kwinten (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303608,Veekeringen van meidoorn,Ulvend (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303609,Veekeringen van meidoorn,Kattenroth (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303617,Veekeringen van meidoorn,De Plank (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303622,Veekeringen van meidoorn,Veurs (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","hoogstamboomgaarden, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303644,Veekeringen van meidoorn,"Berg, Veld (Voeren)",Limburg,Voeren,Sint-Martens-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303646,Veekeringen van meidoorn,"Berg, Heijdt (Voeren)",Limburg,Voeren,Sint-Martens-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, hoogstamboomgaarden, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303654,Veekeringen van meidoorn,Daal (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303662,Veekeringen van meidoorn,Daal (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303663,Cluster hoogstamboomgaarden,"Borgloon, Groot-Loon (Borgloon)",Limburg,Borgloon,"Borgloon, Groot-Loon",False,False,Element,aanwezig,bewaard,,"hekken, hoogstamboomgaarden",,,Prunus avium,,,Inventarisatie Haspengouw van Borgloon tot Vechmaal,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303677,Geschoren veekeringshagen van meidoorn,"Clermontshof, Graef, Pontus (Voeren)",Limburg,Voeren,Remersdaal,False,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303690,Geschoren veekeringshagen van meidoorn,"Hagelstein, Kultjen (Voeren)",Limburg,Voeren,Remersdaal,False,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303704,Geschoren veekeringshagen van meidoorn,Reesberg (Voeren),Limburg,Voeren,Remersdaal,False,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303708,Geschoren veekeringshagen van meidoorn,Reesberg (Voeren),Limburg,Voeren,Remersdaal,False,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303737,Veekeringen van meidoorn,Plankerweg (Voeren),Limburg,Voeren,Teuven,False,True,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, hoogstamboomgaarden, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303754,Kersenboomgaard,Sassenbroekstraat (Borgloon),Limburg,Borgloon,Broekom,False,False,Element,aanwezig,bewaard,,hoogstamboomgaarden,,,Prunus avium,,,Inventarisatie Haspengouw van Borgloon tot Vechmaal,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303856,Hoogstamboomgaard met veekeringshaag,Borgloon (Borgloon),Limburg,Borgloon,Borgloon,False,False,Element,aanwezig,bewaard,,"hekken, hoogstamboomgaarden, veekeringshagen",,,,,,Inventarisatie Haspengouw van Borgloon tot Vechmaal,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303921,Veekeringen van meidoorn,Sint-Pieterstraat (Voeren),Limburg,Voeren,Sint-Pieters-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","perceelsgrenzen, weilanden",,Crataegus monogyna,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303923,Veekeringen van meidoorn,"Berg, Heijdt (Voeren)",Limburg,Voeren,Sint-Martens-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, hoogstamboomgaarden, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303925,Veekeringen van meidoorn,Daal (Voeren),Limburg,Voeren,Sint-Martens-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, perceelsgrenzen, weilanden",,Crataegus,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
